z_NO_OSM,zref,name,name:ca,zCATEGORIA,amenity,admin_level,government,office,chamber,addr:street,nohousenumber,addr:housenumber,addr:floor,addr:door,addr:postcode,zPOBLACIO,zCODI_MUNICIPI,zCOMARCA,phone,fax,zUTMX,zUTMY,lon,lat,email,website,ZDATA_MODIFICACIO,ZPROPIETATS,ZGeoreferència,
,1841291,Unae Lleida,Unae Lleida,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer de Mossèn Amic,,1,,,25007,Lleida,251207,Segrià,+34-973247421,+34-973230121,302236178,4609737668,0.626396832,41.614862932,unaeconsumidors@gmail.com,,04/02/2024 07:01:27 AM,,POINT (0.62639683 41.614864),
,1841314,Associació El Defensor de L'Estudiant,Associació El Defensor de L'Estudiant,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer de Pere Vergés,,1,,,8020,Barcelona,80193,Barcelonès,,,433898350,4585991510,2.208952690,41.422763953,defensor.estudiant@gmx.com,,04/02/2024 07:01:26 AM,,POINT (2.2089527 41.422764),
,1841287,El Defensor de L'Estudiant,El Defensor de L'Estudiant,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer de Pere Vergés,,1,,,8020,Barcelona,80193,Barcelonès,,,433898350,4585991510,2.208952690,41.422763953,info@defensorestudiante.org,,04/02/2024 07:01:27 AM,,POINT (2.2089527 41.422764),
,1841283,"Cus:Salut, Consum i Alimentació-Delegació A Tàrrega","Cus:Salut, Consum i Alimentació-Delegació A Tàrrega",Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Avinguda del Segle XX,,2,,,25300,Tàrrega,252173,Urgell,+34-973270220,973270220,345082199,4612639575,1.139595800,41.650454400,custarrega@gmail.com,http://www.cus-usuaris.org,04/02/2024 07:01:27 AM,,POINT (1.1395957 41.650455),
,1841327,Aicuc. Associació Intercomarcal de Consumidors i Usuaris de Catalunya (Salou),Aicuc. Associació Intercomarcal de Consumidors i Usuaris de Catalunya (Salou),Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer de l'Advocat Gallego,,2,,,43804,Salou,439057,Tarragonès,+34-977216951,977216951,343370082,4549469561,1.135358500,41.081410100,info@aicuc.org,http://www.aicuc.org,04/02/2024 07:01:31 AM,,POINT (1.1353585 41.08141),
,1841298,Associació Tarraco de Protecció Als Consumidors i Usuaris de La Província de Tarragona- Atpcupt,Associació Tarraco de Protecció Als Consumidors i Usuaris de La Província de Tarragona- Atpcupt,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer del Riu Llobregat,,2,,,43006,Tarragona,431482,Tarragonès,+34-977550030,977550030,349701762,4553292268,1.209765123,41.117023458,asotarraco@telefonica.net,http://usuaris.tinet.org/atpcupt/indice.htm,04/02/2024 07:01:27 AM,,POINT (1.2097651 41.117023),
,1841293,Adcuc- Associació En Defensa del Consumidor i L'Usuari de Cornellà,Adcuc- Associació En Defensa del Consumidor i L'Usuari de Cornellà,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer d'Hermenegildo Goula,,3,,,8940,Cornellà de Llobregat,80734,Baix Llobregat,+34-933765903,+34-933754011,422738465,4579120383,2.076292800,41.359883800,consumco@hotmail.com,,04/02/2024 07:01:27 AM,,POINT (2.0762928 41.359882),
,1841326,Ocuc Mataró.Organització de Consumidors i Usuaris Catalunya ,Ocuc Mataró.Organització de Consumidors i Usuaris Catalunya ,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Plaça de Miquel Biada,,5,,,8301,Mataró,81213,Maresme,+34-934174737,934174737,453687921,4598131760,2.444831822,41.533496503,,,04/02/2024 07:01:31 AM,,POINT (2.4448318 41.533497),
,1841281,"Cus:Salut, Consum i Alimentació-Delegació A Lleida","Cus:Salut, Consum i Alimentació-Delegació A Lleida",Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer de Sant Pere Claver (Centre Cívic),,5,,,25005,Lleida,251207,Segrià,+34-973270220,973270220,303248250,4610964875,0.638130800,41.626157400,cuslleida@gmail.com,http://www.cus-usuaris.org,04/02/2024 07:01:27 AM,,POINT (0.6381308 41.626156),
,1841301,Ucc Tarragona,Ucc Tarragona,Comerç. Consum|Organitzacions de persones consumidores||,,,,association,,Carrer Nou,,5,,,43300,Mont-roig del Camp,430923,Baix Camp,,+34-933042659,328566737,4550382031,0.958976264,41.086638681,ucctarragona@consumidors.org,,04/02/2024 07:01:27 AM,,POINT (0.95897627 41.08664),
